register_id,name,created,addresses_road_id,addresses_road_name,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
﻿99400076724,Jardins dels Drets Humans,2004-03-15T12:30:24+01:00,137300,C Foneria,13,La Marina De Port,3,Sants-Montjuïc,8038,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427793.14943931415,4579195.172504869,41.361026562681914,2.1367088188150576
﻿99400176467,Jardins de Victòria de los Ángeles,2007-01-26T14:11:03+01:00,216906,C Montalegre,1,El Raval,1,Ciutat Vella,8001,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,430379.0357577841,4581724.135357528,41.384031930477754,2.167331566974877
﻿1086092955,Jardins dels Horts de Sant Pau,2001-03-27T00:00:00+02:00,330300,Tàpies,1,El Raval,1,Ciutat Vella,8001,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,430617.42461753485,4580864.654795406,41.37631144514348,2.1702808171636128
﻿92086012247,Jardins de Moragas,1985-04-15T00:00:00+02:00,332204,Tavern,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428576.45695104206,4583281.216789526,41.397897961749294,2.145591339075409
﻿99400487382,Interior d'Illa Sidó Lledoner,2017-03-23T18:51:19+01:00,184005,Carrer Del Lledoner,39,Sant Genís Dels Agudells,7,Horta-Guinardó,8035,Barcelona,55737069,Interiors d'illa,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Interiors d'illa,651,65103002006001,428031.87459923595,4586290.6223328,41.42495383985393,2.138719495862864
﻿92086011921,Parc de la Ciutadella,1988-07-13T00:00:00+02:00,201400,Passeig De Picasso,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,431890.6660134717,4581965.649308547,41.38633657544665,2.185381778970792
﻿92086011925,Jardins de Ramon Margalef i López,1985-04-01T00:00:00+02:00,116402,Av Estadi,11,El Poble-Sec,3,Sants-Montjuïc,8038,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,429158.3870412853,4579744.284431306,41.36609351846864,2.152965473661524
﻿92086011933,Parc del Castell de l'Oreneta,1985-04-01T00:00:00+02:00,218402,C Montevideo,23,Sarrià,5,Sarrià-Sant Gervasi,8034,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,425786.80201446573,4583476.280286147,41.39940218424315,2.112199777559347
﻿92086011942,Turó Park - Parc del Poeta Eduard Marquina,1985-04-01T00:00:00+02:00,143507,Av Pau Casals,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428265.0380661559,4582863.1898014555,41.39410523623182,2.1419158924657906
﻿92086012472,Jardins de Magalí,1985-04-23T00:00:00+02:00,352904,C Vallespir,19,Les Corts,4,Les Corts,8014,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427553.9961943073,4581849.695538634,41.38491336528375,2.1335326462367803
﻿92086012405,Jardins Joaquim Ruyra,1985-04-22T00:00:00+02:00,110803,Entença,19,Les Corts,4,Les Corts,8029,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,427965.0340692955,4582453.595733766,41.390389369333256,2.138376389148415
﻿99400451948,Jardí Històric,2016-06-02T00:00:00+02:00,223606,C Muntaner,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,Barcelona,55737068,Parcs i jardins,Planol BCN >> Cultura i lleure >> Parcs i jardins >> Parcs i jardins,651,65103002006000,428683.18495240336,4583099.925580482,41.39627461437971,2.1468892962598556
